id,Kirishima,Rokumura,Midorikawa,Kuroda,Neko
0,1,0,0,0,0
1,0,1,1,0,0
2,1,1,0,0,0
3,0,0,1,0,0
4,1,0,0,0,0
5,0,0,0,1,0
6,0,0,1,0,0
7,1,0,1,0,0
8,1,0,0,0,0
9,0,1,1,0,0
10,1,0,0,0,0
11,0,0,1,0,0
12,1,0,0,0,0
13,0,1,0,0,0
14,0,0,0,1,0
15,1,0,0,0,0
16,1,1,0,0,0
17,1,0,0,0,0
18,1,0,0,0,0
19,1,0,0,0,0
20,1,0,0,0,0
21,1,0,0,0,0
22,1,0,0,0,0
23,0,1,0,0,0
24,1,0,0,0,0
25,1,0,0,0,0
26,0,1,0,0,0
27,1,0,0,0,0
28,1,0,0,0,0
29,1,0,0,0,0
30,0,0,0,0,1
31,0,0,1,0,0
32,0,0,1,0,0
33,0,1,0,0,0
34,1,0,0,0,0
35,0,0,0,1,0
36,0,1,1,0,0
37,1,0,1,0,0
38,1,1,0,0,0
39,1,0,0,0,0
40,1,0,0,0,0
41,1,0,0,0,0
42,1,0,0,0,0
43,1,0,0,0,0
44,1,0,0,0,0
45,0,1,1,0,0
46,0,0,1,0,0
47,1,0,0,0,0
48,1,1,1,0,0
49,1,0,0,0,0
50,0,1,0,0,0
51,1,1,1,0,0
52,0,0,1,0,0
53,0,1,0,0,0
54,1,0,0,0,0
55,0,0,0,1,1
56,0,0,0,0,1
57,1,1,0,0,0
58,1,0,0,0,0
59,1,0,0,0,0
60,1,1,0,0,0
61,0,1,0,0,0
62,1,0,0,0,0
63,1,0,0,1,0
64,0,0,1,0,0
65,1,0,1,0,0
66,1,0,1,0,0
67,0,1,0,0,0
68,0,1,0,0,0
69,0,0,0,0,1
70,1,0,0,0,0
71,1,0,0,0,0
72,1,0,0,0,0
73,1,0,0,0,0
74,1,0,0,0,0
75,1,0,0,0,0
76,1,0,0,0,0
77,0,0,0,0,1
78,0,1,1,0,0
79,0,0,0,0,1
80,0,1,0,0,0
81,0,1,1,0,0
82,1,0,0,0,0
83,1,0,0,0,0
84,0,0,0,0,1
85,1,0,0,0,0
86,1,0,0,0,0
87,1,1,0,0,0
88,1,0,0,0,0
89,0,0,0,0,1
90,0,1,1,0,0
91,1,0,0,0,0
92,1,1,0,0,0
93,0,1,0,0,0
94,1,0,0,0,0
95,1,1,1,0,0
96,0,0,0,0,0
97,1,1,1,0,0
98,1,1,0,0,0
99,1,0,0,0,0
